会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
20,若松,2025/05/23,1,15:21,1,3224,栗山繁洋,60,佐賀,53,B1,4.06,24.77,4.57,28.5,61,40.91,45,37.26,,
20,若松,2025/05/23,1,15:21,2,3722,西村秀樹,54,福岡,53,B1,3.89,18.52,3.23,10.4,32,35.24,63,31.86,,6
20,若松,2025/05/23,1,15:21,3,4374,永田義紘,41,広島,50,B1,4.47,19.35,4.67,25.0,15,24.76,71,37.00,,8
20,若松,2025/05/23,1,15:21,4,4872,山下流心,32,広島,55,B1,4.42,22.22,4.29,28.5,2,30.19,44,39.35,,10
20,若松,2025/05/23,1,15:21,5,5053,山口広樹,29,福岡,55,B1,5.66,36.96,4.60,30.0,59,27.03,23,31.53,,11
20,若松,2025/05/23,1,15:21,6,5388,佐野優都,18,徳島,54,B2,2.27,1.49,0.00,0.0,4,34.29,52,33.49,,7
20,若松,2025/05/23,2,15:51,1,5014,梶山涼斗,27,佐賀,53,B1,5.08,27.55,4.95,23.8,47,23.23,12,28.36,,11
20,若松,2025/05/23,2,15:51,2,3933,山地正樹,48,岡山,56,B1,4.95,30.51,6.65,50.0,37,21.43,39,41.18,,
20,若松,2025/05/23,2,15:51,3,5226,藤田俊祐,23,東京,52,A1,5.73,41.13,3.88,25.0,56,25.00,16,34.29,,9
20,若松,2025/05/23,2,15:51,4,4009,小林一樹,46,山口,59,A2,5.51,32.04,6.08,33.3,45,37.74,65,33.99,,10
20,若松,2025/05/23,2,15:51,5,4248,岡本　大,43,長崎,55,B1,3.71,14.29,3.75,20.0,19,25.71,32,37.16,,
20,若松,2025/05/23,2,15:51,6,5398,鐘ヶ江真,23,福岡,52,B2,1.88,0.00,0.00,0.0,21,29.31,14,31.07,,8
20,若松,2025/05/23,3,16:19,1,5064,品川二千,26,山口,53,B1,5.65,40.00,3.91,20.0,50,25.23,51,42.99,,7
20,若松,2025/05/23,3,16:19,2,4640,山ノ内雅,34,福岡,52,A1,5.51,33.05,5.78,39.5,48,40.37,18,26.47,,12
20,若松,2025/05/23,3,16:19,3,4213,重富伸也,40,長崎,54,B1,4.70,28.70,3.18,7.1,35,34.00,70,40.98,,10
20,若松,2025/05/23,3,16:19,4,4603,谷川将太,37,長崎,54,B1,5.46,38.21,4.11,21.4,1,30.91,37,33.33,,9
20,若松,2025/05/23,3,16:19,5,5031,渡辺空依,27,福岡,54,B2,4.80,26.58,4.27,19.2,11,48.08,40,36.82,,
20,若松,2025/05/23,3,16:19,6,4119,泥谷一毅,43,大阪,53,A1,5.31,29.09,5.64,42.8,57,33.33,66,30.92,,8
20,若松,2025/05/23,4,16:46,1,4600,井内将太,40,広島,52,A2,6.02,39.71,6.32,45.4,6,41.90,54,35.05,,8
20,若松,2025/05/23,4,16:46,2,4705,吉川勇作,36,長崎,56,B1,4.50,29.31,4.80,24.0,44,31.07,58,35.81,,11
20,若松,2025/05/23,4,16:46,3,5022,伊藤尚汰,30,福岡,50,B1,4.46,22.35,4.64,31.1,3,34.91,64,37.86,,9
20,若松,2025/05/23,4,16:46,4,5258,仲本　舜,19,福岡,54,B1,3.93,18.39,3.16,12.9,20,35.34,19,26.11,,
20,若松,2025/05/23,4,16:46,5,4703,森永　隆,37,山口,51,A1,6.73,49.18,6.40,20.0,42,35.71,41,32.06,,12
20,若松,2025/05/23,4,16:46,6,4675,井手良太,37,大阪,51,B1,5.45,31.46,5.46,40.5,23,39.81,13,28.37,,10
20,若松,2025/05/23,5,17:15,1,4292,麻生慎介,40,広島,55,A1,6.33,37.84,7.23,57.1,29,26.13,50,32.55,,12
20,若松,2025/05/23,5,17:15,2,3703,鳥飼　眞,51,福岡,50,A2,5.96,41.61,5.68,38.7,26,33.94,57,33.80,,10
20,若松,2025/05/23,5,17:15,3,4343,村岡　賢,40,広島,54,B1,3.37,14.44,3.11,0.0,60,25.66,56,35.07,,
20,若松,2025/05/23,5,17:15,4,5221,竹間隆晟,24,大阪,53,A2,6.42,50.00,6.60,60.0,34,44.34,25,39.41,,11
20,若松,2025/05/23,5,17:15,5,5289,佃　來紀,24,大阪,53,B1,4.23,15.04,3.60,10.0,9,30.19,60,41.18,,9
20,若松,2025/05/23,5,17:15,6,5395,日高龍之,23,佐賀,51,B2,1.17,0.00,0.00,0.0,25,38.05,27,34.93,,
20,若松,2025/05/23,6,17:43,1,4441,末永由楽,38,岡山,56,A1,6.25,41.55,6.97,56.6,39,40.19,42,37.26,,12
20,若松,2025/05/23,6,17:43,2,4574,東　潤樹,36,広島,54,B1,4.80,28.57,4.06,16.6,62,26.36,67,33.49,,
20,若松,2025/05/23,6,17:43,3,5071,野見山拓,30,福岡,52,B1,4.90,27.47,2.96,8.7,43,35.14,43,38.14,,
20,若松,2025/05/23,6,17:43,4,3333,丸尾義孝,56,徳島,53,A2,5.87,42.11,5.69,37.5,54,35.09,33,35.94,,11
20,若松,2025/05/23,6,17:43,5,3722,西村秀樹,54,福岡,53,B1,3.89,18.52,3.23,10.4,32,35.24,63,31.86,,1
20,若松,2025/05/23,6,17:43,6,4839,四宮与寛,34,徳島,53,A2,6.57,50.00,5.33,40.0,5,25.47,15,27.64,,10
20,若松,2025/05/23,7,18:20,1,5029,中　亮太,28,福岡,53,A2,6.00,47.67,5.88,43.7,10,47.17,69,34.74,,
20,若松,2025/05/23,7,18:20,2,4544,松田大志,37,福岡,52,A1,7.08,52.03,8.05,66.6,8,25.23,30,32.74,,12
20,若松,2025/05/23,7,18:20,3,4956,齊藤大将,30,東京,55,B1,4.30,15.48,6.00,14.2,51,34.21,72,30.33,,
20,若松,2025/05/23,7,18:20,4,5064,品川二千,26,山口,53,B1,5.65,40.00,3.91,20.0,50,25.23,51,42.99,,3
20,若松,2025/05/23,7,18:20,5,5388,佐野優都,18,徳島,54,B2,2.27,1.49,0.00,0.0,4,34.29,52,33.49,,1
20,若松,2025/05/23,7,18:20,6,4644,山田亮太,46,東京,51,A2,5.00,31.03,6.75,62.5,49,25.66,62,33.65,,11
20,若松,2025/05/23,8,18:47,1,4264,長尾章平,40,山口,54,A1,6.99,58.22,5.82,41.0,33,34.29,20,32.68,,12
20,若松,2025/05/23,8,18:47,2,4119,泥谷一毅,43,大阪,53,A1,5.31,29.09,5.64,42.8,57,33.33,66,30.92,,3
20,若松,2025/05/23,8,18:47,3,4600,井内将太,40,広島,52,A2,6.02,39.71,6.32,45.4,6,41.90,54,35.05,,4
20,若松,2025/05/23,8,18:47,4,5175,島崎丈一,21,東京,54,B1,3.32,10.96,5.11,22.2,24,39.82,38,34.45,,
20,若松,2025/05/23,8,18:47,5,5398,鐘ヶ江真,23,福岡,52,B2,1.88,0.00,0.00,0.0,21,29.31,14,31.07,,2
20,若松,2025/05/23,8,18:47,6,4374,永田義紘,41,広島,50,B1,4.47,19.35,4.67,25.0,15,24.76,71,37.00,,1
20,若松,2025/05/23,9,19:17,1,5226,藤田俊祐,23,東京,52,A1,5.73,41.13,3.88,25.0,56,25.00,16,34.29,,2
20,若松,2025/05/23,9,19:17,2,3584,佐々木英,52,広島,54,B1,4.76,30.00,0.00,0.0,30,40.87,59,33.94,,
20,若松,2025/05/23,9,19:17,3,5289,佃　來紀,24,大阪,53,B1,4.23,15.04,3.60,10.0,9,30.19,60,41.18,,5
20,若松,2025/05/23,9,19:17,4,3930,岸本　隆,49,岡山,56,B1,5.93,44.83,4.39,12.8,28,46.43,17,30.24,,
20,若松,2025/05/23,9,19:17,5,5022,伊藤尚汰,30,福岡,50,B1,4.46,22.35,4.64,31.1,3,34.91,64,37.86,,4
20,若松,2025/05/23,9,19:17,6,4603,谷川将太,37,長崎,54,B1,5.46,38.21,4.11,21.4,1,30.91,37,33.33,,3
20,若松,2025/05/23,10,19:48,1,3703,鳥飼　眞,51,福岡,50,A2,5.96,41.61,5.68,38.7,26,33.94,57,33.80,,5
20,若松,2025/05/23,10,19:48,2,4872,山下流心,32,広島,55,B1,4.42,22.22,4.29,28.5,2,30.19,44,39.35,,1
20,若松,2025/05/23,10,19:48,3,4839,四宮与寛,34,徳島,53,A2,6.57,50.00,5.33,40.0,5,25.47,15,27.64,,6
20,若松,2025/05/23,10,19:48,4,4675,井手良太,37,大阪,51,B1,5.45,31.46,5.46,40.5,23,39.81,13,28.37,,4
20,若松,2025/05/23,10,19:48,5,4213,重富伸也,40,長崎,54,B1,4.70,28.70,3.18,7.1,35,34.00,70,40.98,,3
20,若松,2025/05/23,10,19:48,6,4009,小林一樹,46,山口,59,A2,5.51,32.04,6.08,33.3,45,37.74,65,33.99,,2
20,若松,2025/05/23,11,20:16,1,3333,丸尾義孝,56,徳島,53,A2,5.87,42.11,5.69,37.5,54,35.09,33,35.94,,6
20,若松,2025/05/23,11,20:16,2,5053,山口広樹,29,福岡,55,B1,5.66,36.96,4.60,30.0,59,27.03,23,31.53,,1
20,若松,2025/05/23,11,20:16,3,5014,梶山涼斗,27,佐賀,53,B1,5.08,27.55,4.95,23.8,47,23.23,12,28.36,,2
20,若松,2025/05/23,11,20:16,4,4644,山田亮太,46,東京,51,A2,5.00,31.03,6.75,62.5,49,25.66,62,33.65,,7
20,若松,2025/05/23,11,20:16,5,4705,吉川勇作,36,長崎,56,B1,4.50,29.31,4.80,24.0,44,31.07,58,35.81,,4
20,若松,2025/05/23,11,20:16,6,5221,竹間隆晟,24,大阪,53,A2,6.42,50.00,6.60,60.0,34,44.34,25,39.41,,5
20,若松,2025/05/23,12,20:45,1,4544,松田大志,37,福岡,52,A1,7.08,52.03,8.05,66.6,8,25.23,30,32.74,,7
20,若松,2025/05/23,12,20:45,2,4264,長尾章平,40,山口,54,A1,6.99,58.22,5.82,41.0,33,34.29,20,32.68,,8
20,若松,2025/05/23,12,20:45,3,4703,森永　隆,37,山口,51,A1,6.73,49.18,6.40,20.0,42,35.71,41,32.06,,4
20,若松,2025/05/23,12,20:45,4,4441,末永由楽,38,岡山,56,A1,6.25,41.55,6.97,56.6,39,40.19,42,37.26,,6
20,若松,2025/05/23,12,20:45,5,4292,麻生慎介,40,広島,55,A1,6.33,37.84,7.23,57.1,29,26.13,50,32.55,,5
20,若松,2025/05/23,12,20:45,6,4640,山ノ内雅,34,福岡,52,A1,5.51,33.05,5.78,39.5,48,40.37,18,26.47,,3
