会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
04,平和島,2026/04/07,3,11:53,1,4944,田代達也,34,東京,54,B1,3.94,20.51,4.27,19.7,75,34.97,11,33.33,1 4256,8
04,平和島,2026/04/07,3,11:53,2,5036,福田翔吾,28,大阪,53,B1,5.11,36.00,0.00,0.0,40,30.63,54,32.24,1 1524,11
04,平和島,2026/04/07,3,11:53,3,3518,倉田郁美,58,静岡,49,B1,4.30,22.54,0.00,0.0,45,36.70,61,40.24,6 436,
04,平和島,2026/04/07,3,11:53,4,5161,登玉隼百,26,兵庫,55,A2,5.74,41.46,5.88,43.7,54,38.12,17,45.51,221 25,10
04,平和島,2026/04/07,3,11:53,5,4578,藤山雅弘,36,大阪,53,A1,5.27,42.67,5.00,31.0,17,39.23,23,20.00,3 123,11
04,平和島,2026/04/07,3,11:53,6,4748,渡邉雄朗,39,東京,52,A1,6.53,48.45,7.41,63.6,29,37.20,58,27.21,261 11,12
04,平和島,2026/04/07,4,12:22,1,4460,後藤翔之,40,東京,57,A2,6.17,41.00,6.12,44.4,28,34.15,72,28.87,445 11,9
04,平和島,2026/04/07,4,12:22,2,5245,倉富大誠,24,愛知,52,B1,4.26,21.92,4.00,23.5,46,32.24,74,38.16,553 3,
04,平和島,2026/04/07,4,12:22,3,5028,原田才一,29,福岡,52,A1,6.30,43.66,6.14,42.8,10,30.28,66,37.25,324 41,12
04,平和島,2026/04/07,4,12:22,4,3319,山崎義明,59,埼玉,53,B1,5.14,28.74,5.55,37.2,60,47.24,71,34.19,122 22,11
04,平和島,2026/04/07,4,12:22,5,4819,蜂須瑞生,34,群馬,46,A2,5.79,36.67,5.90,30.0,34,47.09,48,42.04,1 411,10
04,平和島,2026/04/07,4,12:22,6,3721,守田俊介,50,滋賀,53,A1,6.15,41.67,8.18,81.8,55,46.88,62,40.44,112512,11
04,平和島,2026/04/07,5,12:52,1,4738,清埜翔子,34,埼玉,47,A2,5.39,34.78,6.52,44.8,24,33.90,19,34.94,2 341,10
04,平和島,2026/04/07,5,12:52,2,4020,川上清人,46,香川,65,B1,4.14,21.74,3.78,11.1,44,44.20,21,37.65,663 2,
04,平和島,2026/04/07,5,12:52,3,3679,飯島昌弘,53,埼玉,53,A1,6.00,37.76,6.48,45.0,43,42.70,59,36.42,344 13,10
04,平和島,2026/04/07,5,12:52,4,4540,相原利章,38,東京,52,A2,5.61,33.73,5.39,32.5,64,25.74,50,43.45,123 43,12
04,平和島,2026/04/07,5,12:52,5,4351,里岡右貴,40,福岡,53,A1,7.18,55.56,5.45,36.3,37,35.79,57,31.72,33564,9
04,平和島,2026/04/07,5,12:52,6,5347,井澤聖奈,22,愛知,49,B2,1.95,0.00,1.32,0.0,56,36.36,63,28.17,4 5 46,
04,平和島,2026/04/07,6,13:22,1,4514,上條嘉嗣,36,大阪,54,A1,6.97,55.45,6.45,55.1,23,35.29,51,36.47,15636,12
04,平和島,2026/04/07,6,13:22,2,4079,出畑孝典,47,福岡,52,A2,5.52,36.47,6.71,57.1,38,32.48,15,35.26,4 152,10
04,平和島,2026/04/07,6,13:22,3,4089,妹尾忠幸,45,岡山,56,A2,5.95,33.62,7.14,57.1,57,35.56,45,27.97,3 123,11
04,平和島,2026/04/07,6,13:22,4,5144,中尾彩香,24,福岡,48,B1,5.53,41.11,0.00,0.0,68,39.89,69,31.37,5 2633,2
04,平和島,2026/04/07,6,13:22,5,4440,萩原知哉,39,東京,55,B1,4.62,18.99,4.29,0.0,72,37.63,52,39.02,2 3223,12
04,平和島,2026/04/07,6,13:22,6,3811,石田章央,50,静岡,56,A2,6.47,52.22,5.73,40.0,12,29.81,10,37.27,132 21,10
04,平和島,2026/04/07,7,13:53,1,5257,西丸侑太,21,香川,53,A1,6.38,43.51,3.53,15.7,73,33.90,73,27.04,313 55,11
04,平和島,2026/04/07,7,13:53,2,4067,永井　源,46,愛知,53,A1,5.85,40.66,6.88,53.1,66,37.43,60,30.00,3 431,12
04,平和島,2026/04/07,7,13:53,3,4382,高山智至,41,滋賀,54,B1,4.97,20.31,4.86,42.8,41,42.70,68,25.00,441 44,1
04,平和島,2026/04/07,7,13:53,4,4936,戸敷晃美,29,福岡,49,A2,5.83,41.86,0.00,0.0,63,33.33,18,37.28,5 356,2
04,平和島,2026/04/07,7,13:53,5,4735,角山雄哉,35,兵庫,56,B1,4.67,30.38,5.18,41.1,36,34.46,64,28.95,4 662,
04,平和島,2026/04/07,7,13:53,6,5362,中嶋世奈,19,静岡,50,B2,1.78,0.00,1.00,0.0,59,35.98,56,34.62,6 656,
04,平和島,2026/04/07,8,14:24,1,3999,大瀧明日,46,愛知,46,A1,5.77,37.84,6.03,37.5,25,41.62,13,36.36,626215,1
04,平和島,2026/04/07,8,14:24,2,4306,畔柳俊吾,42,愛知,53,A2,4.68,21.54,5.92,32.0,70,27.82,75,33.77,361 22,2
04,平和島,2026/04/07,8,14:24,3,3627,井上恵一,56,福岡,56,A2,5.43,36.26,4.28,22.2,22,31.68,47,38.13,5 566,1
04,平和島,2026/04/07,8,14:24,4,4944,田代達也,34,東京,54,B1,3.94,20.51,4.27,19.7,75,34.97,11,33.33,1 4256,3
04,平和島,2026/04/07,8,14:24,5,3503,堂原洋史,56,埼玉,51,B1,4.42,22.37,3.81,9.5,67,35.98,12,24.18,554 6,
04,平和島,2026/04/07,8,14:24,6,4864,小川日紀,36,福岡,53,B1,3.97,18.64,5.49,33.3,33,30.88,46,29.37,546 3,
04,平和島,2026/04/07,9,14:56,1,4351,里岡右貴,40,福岡,53,A1,7.18,55.56,5.45,36.3,37,35.79,57,31.72,33564,5
04,平和島,2026/04/07,9,14:56,2,4952,吉武真也,32,福岡,53,B1,3.71,12.50,4.63,31.2,14,40.32,14,30.00,3 1644,
04,平和島,2026/04/07,9,14:56,3,3988,古川誠之,47,愛知,56,A2,5.60,40.78,5.00,30.7,61,29.87,65,34.62,2 415,1
04,平和島,2026/04/07,9,14:56,4,4460,後藤翔之,40,東京,57,A2,6.17,41.00,6.12,44.4,28,34.15,72,28.87,445 11,4
04,平和島,2026/04/07,9,14:56,5,3880,浅見宗孝,53,埼玉,57,B1,4.83,25.97,5.15,21.2,71,36.32,24,29.22,4 5365,
04,平和島,2026/04/07,9,14:56,6,4218,吉川喜継,44,滋賀,52,A1,6.78,54.96,7.86,57.1,20,29.22,44,33.13,4 233,2
04,平和島,2026/04/07,10,15:29,1,3811,石田章央,50,静岡,56,A2,6.47,52.22,5.73,40.0,12,29.81,10,37.27,132 21,6
04,平和島,2026/04/07,10,15:29,2,4819,蜂須瑞生,34,群馬,46,A2,5.79,36.67,5.90,30.0,34,47.09,48,42.04,1 411,4
04,平和島,2026/04/07,10,15:29,3,5161,登玉隼百,26,兵庫,55,A2,5.74,41.46,5.88,43.7,54,38.12,17,45.51,221 25,3
04,平和島,2026/04/07,10,15:29,4,3679,飯島昌弘,53,埼玉,53,A1,6.00,37.76,6.48,45.0,43,42.70,59,36.42,344 13,5
04,平和島,2026/04/07,10,15:29,5,4079,出畑孝典,47,福岡,52,A2,5.52,36.47,6.71,57.1,38,32.48,15,35.26,4 152,6
04,平和島,2026/04/07,10,15:29,6,4738,清埜翔子,34,埼玉,47,A2,5.39,34.78,6.52,44.8,24,33.90,19,34.94,2 341,5
04,平和島,2026/04/07,11,16:03,1,3721,守田俊介,50,滋賀,53,A1,6.15,41.67,8.18,81.8,55,46.88,62,40.44,112512,4
04,平和島,2026/04/07,11,16:03,2,4578,藤山雅弘,36,大阪,53,A1,5.27,42.67,5.00,31.0,17,39.23,23,20.00,3 123,3
04,平和島,2026/04/07,11,16:03,3,3319,山崎義明,59,埼玉,53,B1,5.14,28.74,5.55,37.2,60,47.24,71,34.19,122 22,4
04,平和島,2026/04/07,11,16:03,4,4089,妹尾忠幸,45,岡山,56,A2,5.95,33.62,7.14,57.1,57,35.56,45,27.97,3 123,6
04,平和島,2026/04/07,11,16:03,5,5036,福田翔吾,28,大阪,53,B1,5.11,36.00,0.00,0.0,40,30.63,54,32.24,1 1524,3
04,平和島,2026/04/07,11,16:03,6,5257,西丸侑太,21,香川,53,A1,6.38,43.51,3.53,15.7,73,33.90,73,27.04,313 55,7
04,平和島,2026/04/07,12,16:38,1,4748,渡邉雄朗,39,東京,52,A1,6.53,48.45,7.41,63.6,29,37.20,58,27.21,261 11,3
04,平和島,2026/04/07,12,16:38,2,4440,萩原知哉,39,東京,55,B1,4.62,18.99,4.29,0.0,72,37.63,52,39.02,2 3223,6
04,平和島,2026/04/07,12,16:38,3,4540,相原利章,38,東京,52,A2,5.61,33.73,5.39,32.5,64,25.74,50,43.45,123 43,5
04,平和島,2026/04/07,12,16:38,4,5028,原田才一,29,福岡,52,A1,6.30,43.66,6.14,42.8,10,30.28,66,37.25,324 41,4
04,平和島,2026/04/07,12,16:38,5,4067,永井　源,46,愛知,53,A1,5.85,40.66,6.88,53.1,66,37.43,60,30.00,3 431,7
04,平和島,2026/04/07,12,16:38,6,4514,上條嘉嗣,36,大阪,54,A1,6.97,55.45,6.45,55.1,23,35.29,51,36.47,15636,6
