会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
11,びわこ,2026/01/04,3,11:27,2,4710,福田宗平,36,大阪,53,A1,6.39,45.95,6.17,43.3,13,35.87,33,36.02,13,7
11,びわこ,2026/01/04,3,11:27,3,4594,谷川祐一,44,滋賀,54,A2,6.16,45.05,6.30,47.7,43,33.33,36,24.03,4,9
11,びわこ,2026/01/04,3,11:27,4,5280,廣瀬　凜,23,滋賀,50,A2,6.63,50.60,4.49,21.6,29,29.75,48,38.41,15,12
11,びわこ,2026/01/04,3,11:27,5,5353,草川壮良,21,滋賀,52,B1,2.69,7.84,1.84,2.6,27,29.27,46,39.51,54,
11,びわこ,2026/01/04,3,11:27,6,4651,佐藤大騎,41,大阪,53,B1,3.46,14.29,5.05,33.3,44,31.39,43,36.88,5,11
11,びわこ,2026/01/04,4,11:59,1,3606,川北浩貴,54,滋賀,52,B1,5.35,33.33,6.15,44.0,55,38.46,31,32.91,3,12
11,びわこ,2026/01/04,4,11:59,2,4388,是澤孝宏,40,滋賀,51,A2,6.13,41.32,6.59,50.9,12,29.87,34,24.52,42,11
11,びわこ,2026/01/04,4,11:59,3,4448,青木玄太,38,滋賀,52,A1,6.62,47.42,6.90,43.9,41,37.50,13,37.42,2,8
11,びわこ,2026/01/04,4,11:59,4,4120,柘植政浩,44,滋賀,53,A2,6.38,46.15,6.24,46.2,58,41.36,28,32.45,22,
11,びわこ,2026/01/04,4,11:59,5,4218,吉川喜継,44,滋賀,52,A1,7.03,58.54,6.64,47.6,51,35.63,14,33.12,12,10
11,びわこ,2026/01/04,4,11:59,6,3761,山本光雄,53,滋賀,55,B1,5.10,30.14,5.10,27.8,49,34.32,39,30.38,35,
11,びわこ,2026/01/04,5,12:26,1,4743,木村仁紀,33,滋賀,55,A1,6.81,50.00,6.56,45.8,64,34.33,41,32.05,6,12
11,びわこ,2026/01/04,5,12:26,2,4404,岸蔭　亮,40,兵庫,53,B1,3.85,21.84,3.70,30.4,50,26.17,65,33.33,65,
11,びわこ,2026/01/04,5,12:26,3,3900,香川素子,48,滋賀,48,A1,6.23,41.90,6.91,55.5,63,38.17,22,28.95,11,
11,びわこ,2026/01/04,5,12:26,4,5017,澤田尚也,26,滋賀,52,A1,6.87,54.35,7.10,56.3,39,22.14,25,23.61,3,11
11,びわこ,2026/01/04,5,12:26,5,3965,北中元樹,46,滋賀,56,A2,5.93,43.62,5.82,42.0,22,23.70,23,34.64,6,9
11,びわこ,2026/01/04,5,12:26,6,4146,柳橋宏紀,44,滋賀,54,B1,4.91,27.84,5.44,36.8,19,21.82,60,40.49,34,
11,びわこ,2026/01/04,6,12:54,1,4099,吉永則雄,47,大阪,53,A1,6.73,52.13,6.63,50.0,62,30.61,50,38.79,53,11
11,びわこ,2026/01/04,6,12:54,2,4071,古賀千晶,45,兵庫,45,B1,3.98,14.89,3.88,12.5,35,38.69,59,31.41,6,1
11,びわこ,2026/01/04,6,12:54,3,4917,岩橋裕馬,37,兵庫,53,B1,4.54,23.53,2.84,4.0,65,51.47,44,37.34,5,2
11,びわこ,2026/01/04,6,12:54,4,4686,丸野一樹,34,滋賀,54,A1,6.71,36.36,7.20,56.2,15,29.48,11,33.74,14,12
11,びわこ,2026/01/04,6,12:54,5,4649,和田操拓,41,滋賀,51,A2,5.09,29.46,5.87,41.4,40,27.34,45,37.20,61,10
11,びわこ,2026/01/04,6,12:54,6,4941,孫崎百世,37,滋賀,48,B1,4.42,23.08,5.16,26.5,34,44.39,19,36.31,1S,
11,びわこ,2026/01/04,7,13:22,1,4012,中村有裕,46,滋賀,58,A2,6.11,44.90,6.22,46.9,11,37.97,26,33.54,55,1
11,びわこ,2026/01/04,7,13:22,2,5229,吉川晴人,22,滋賀,56,A2,5.80,37.04,5.25,35.5,73,32.80,69,32.72,46,
11,びわこ,2026/01/04,7,13:22,3,4389,伊藤喜智,40,大阪,52,B1,4.81,27.40,5.08,40.0,67,33.58,68,38.13,2,12
11,びわこ,2026/01/04,7,13:22,4,4710,福田宗平,36,大阪,53,A1,6.39,45.95,6.17,43.3,13,35.87,33,36.02,13,3
11,びわこ,2026/01/04,7,13:22,5,5157,市川健太,28,滋賀,54,B1,4.87,29.13,4.63,23.6,18,29.45,66,35.54,46,
11,びわこ,2026/01/04,7,13:22,6,3721,守田俊介,50,滋賀,54,A1,7.12,52.04,8.15,74.0,54,24.24,51,26.32,25,11
11,びわこ,2026/01/04,8,13:51,1,4448,青木玄太,38,滋賀,52,A1,6.62,47.42,6.90,43.9,41,37.50,13,37.42,2,4
11,びわこ,2026/01/04,8,13:51,2,5255,藤原仙二,22,滋賀,54,A2,6.57,51.28,4.50,20.5,38,30.56,58,23.68,S4,
11,びわこ,2026/01/04,8,13:51,3,5379,廣部大明,21,滋賀,52,B2,2.04,0.00,1.77,0.0,71,39.31,53,27.21,4,1
11,びわこ,2026/01/04,8,13:51,4,5115,香川颯太,25,滋賀,50,B2,4.81,27.42,5.83,41.2,72,23.88,17,40.59,24,
11,びわこ,2026/01/04,8,13:51,5,4761,山田晃大,35,滋賀,52,A2,5.46,32.67,5.33,31.3,60,44.98,55,29.22,3,2
11,びわこ,2026/01/04,8,13:51,6,4039,村上功祐,47,大阪,59,A2,5.44,37.80,4.05,25.0,23,30.77,62,30.77,33,
11,びわこ,2026/01/04,9,14:22,1,3582,吉川昭男,52,滋賀,54,A2,5.89,45.08,6.11,46.6,14,35.80,18,28.75,1,2
11,びわこ,2026/01/04,9,14:22,2,4534,坂咲友理,36,大阪,45,B1,3.31,14.58,4.40,20.0,32,34.10,12,38.46,62,
11,びわこ,2026/01/04,9,14:22,3,3965,北中元樹,46,滋賀,56,A2,5.93,43.62,5.82,42.0,22,23.70,23,34.64,6,5
11,びわこ,2026/01/04,9,14:22,4,4137,君島秀三,45,滋賀,53,A1,6.32,48.04,6.56,46.9,69,41.15,38,23.84,12,
11,びわこ,2026/01/04,9,14:22,5,5400,高村　諒,23,滋賀,52,B2,1.59,1.72,1.04,0.0,21,30.57,73,37.89,6,1
11,びわこ,2026/01/04,9,14:22,6,4594,谷川祐一,44,滋賀,54,A2,6.16,45.05,6.30,47.7,43,33.33,36,24.03,4,3
11,びわこ,2026/01/04,10,14:59,1,4649,和田操拓,41,滋賀,51,A2,5.09,29.46,5.87,41.4,40,27.34,45,37.20,61,6
11,びわこ,2026/01/04,10,14:59,2,4262,馬場貴也,41,滋賀,53,A1,7.53,52.94,7.95,65.2,52,38.79,54,34.38,31,2
11,びわこ,2026/01/04,10,14:59,3,4218,吉川喜継,44,滋賀,52,A1,7.03,58.54,6.64,47.6,51,35.63,14,33.12,12,4
11,びわこ,2026/01/04,10,14:59,4,3580,水口由紀,52,滋賀,49,B1,4.73,24.29,4.99,21.7,56,31.82,40,41.92,6,3
11,びわこ,2026/01/04,10,14:59,5,4254,川島圭司,42,滋賀,52,A2,5.78,40.21,6.16,45.6,47,30.39,16,37.58,43,1
11,びわこ,2026/01/04,10,14:59,6,4725,佐竹太一,39,兵庫,54,B1,5.33,32.61,5.57,34.7,17,27.54,57,23.45,26,
11,びわこ,2026/01/04,11,15:33,1,5017,澤田尚也,26,滋賀,52,A1,6.87,54.35,7.10,56.3,39,22.14,25,23.61,3,5
11,びわこ,2026/01/04,11,15:33,2,3721,守田俊介,50,滋賀,54,A1,7.12,52.04,8.15,74.0,54,24.24,51,26.32,25,7
11,びわこ,2026/01/04,11,15:33,3,4651,佐藤大騎,41,大阪,53,B1,3.46,14.29,5.05,33.3,44,31.39,43,36.88,5,3
11,びわこ,2026/01/04,11,15:33,4,4099,吉永則雄,47,大阪,53,A1,6.73,52.13,6.63,50.0,62,30.61,50,38.79,53,6
11,びわこ,2026/01/04,11,15:33,5,4735,角山雄哉,35,兵庫,56,B1,5.25,37.35,4.29,19.0,46,37.72,20,33.13,2,1
11,びわこ,2026/01/04,11,15:33,6,4388,是澤孝宏,40,滋賀,51,A2,6.13,41.32,6.59,50.9,12,29.87,34,24.52,42,4
11,びわこ,2026/01/04,12,16:07,1,4686,丸野一樹,34,滋賀,54,A1,6.71,36.36,7.20,56.2,15,29.48,11,33.74,14,6
11,びわこ,2026/01/04,12,16:07,2,5280,廣瀬　凜,23,滋賀,50,A2,6.63,50.60,4.49,21.6,29,29.75,48,38.41,15,3
11,びわこ,2026/01/04,12,16:07,3,4743,木村仁紀,33,滋賀,55,A1,6.81,50.00,6.56,45.8,64,34.33,41,32.05,6,5
11,びわこ,2026/01/04,12,16:07,4,3606,川北浩貴,54,滋賀,52,B1,5.35,33.33,6.15,44.0,55,38.46,31,32.91,3,4
11,びわこ,2026/01/04,12,16:07,5,4828,松山将吾,31,滋賀,49,A1,6.33,40.86,6.32,44.3,30,37.95,49,30.82,34,2
11,びわこ,2026/01/04,12,16:07,6,4389,伊藤喜智,40,大阪,52,B1,4.81,27.40,5.08,40.0,67,33.58,67,38.69,2,7
