会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
04,平和島,2026/01/23,5,12:35,5,5246,楠将太郎,24,埼玉,52,B1,5.35,36.05,4.21,20.8,49,35.40,31,37.50,3 46,12
04,平和島,2026/01/23,5,12:35,6,3977,山本兼士,48,大阪,53,B1,4.79,24.51,4.17,8.7,12,37.38,51,38.79,356,
04,平和島,2026/01/23,6,13:04,1,5313,鈴木唯央,25,群馬,52,B1,3.84,17.35,2.06,0.0,14,36.36,67,37.96,5 36,
04,平和島,2026/01/23,6,13:04,2,3915,繁野谷圭,51,大阪,53,A2,5.76,35.54,5.47,44.1,20,37.04,53,33.01,441,11
04,平和島,2026/01/23,6,13:04,3,3990,芹澤克彦,47,静岡,53,B1,4.55,23.75,3.61,16.1,38,29.81,34,36.63,345,
04,平和島,2026/01/23,6,13:04,4,3339,泉　具巳,60,兵庫,56,B1,4.26,24.69,5.68,31.5,29,32.69,46,30.85,642,1
04,平和島,2026/01/23,6,13:04,5,5121,定松勇樹,24,佐賀,53,A1,7.34,57.98,0.00,0.0,34,48.18,50,36.26,1221,
04,平和島,2026/01/23,6,13:04,6,5035,櫻井　優,27,埼玉,53,B1,4.80,27.27,4.00,16.2,57,33.33,60,25.56,111,10
04,平和島,2026/01/23,7,13:33,1,3771,折下寛法,51,東京,52,B1,5.56,34.38,5.08,28.3,54,41.07,37,33.04,664,
04,平和島,2026/01/23,7,13:33,2,4959,井上忠政,29,大阪,52,A1,6.79,50.35,7.30,60.0,68,38.18,35,30.39,131,3
04,平和島,2026/01/23,7,13:33,3,5002,上田健太,29,愛知,51,A2,6.03,40.57,7.00,40.0,28,33.33,27,32.08,3 53,12
04,平和島,2026/01/23,7,13:33,4,5359,佐藤世那,19,東京,53,B1,3.95,18.29,2.65,6.6,66,33.94,26,37.17,466,
04,平和島,2026/01/23,7,13:33,5,3776,横井健太,50,愛知,58,B1,3.11,10.00,3.79,24.1,64,23.53,58,27.88,354,
04,平和島,2026/01/23,7,13:33,6,4076,杉田篤光,47,静岡,53,A2,5.34,31.78,5.66,40.6,61,29.00,62,37.63,4 22,
04,平和島,2026/01/23,8,14:02,1,3412,鈴木　博,56,埼玉,54,A2,6.08,42.22,6.59,48.2,75,34.29,33,35.40,211,4
04,平和島,2026/01/23,8,14:02,2,5009,大賀龍之,28,福岡,56,B1,5.08,36.27,6.53,53.3,62,33.33,65,37.86,164,3
04,平和島,2026/01/23,8,14:02,3,3605,中村守成,54,三重,54,B1,4.64,28.89,3.42,8.3,22,35.19,57,37.76,5 15,2
04,平和島,2026/01/23,8,14:02,4,3744,徳増秀樹,51,静岡,54,A1,6.13,45.97,6.93,47.9,36,34.91,36,23.08,313,12
04,平和島,2026/01/23,8,14:02,5,5341,山道諄也,24,群馬,55,B2,1.98,3.77,1.15,0.0,46,39.25,64,31.00,455,1
04,平和島,2026/01/23,8,14:02,6,4981,牧山敦也,29,佐賀,52,B1,5.09,31.40,6.00,33.3,48,25.49,29,32.69,F 4,
04,平和島,2026/01/23,9,14:32,1,5092,篠原晟弥,25,福岡,52,A2,6.20,44.21,6.24,52.9,17,36.54,70,39.81,2113,
04,平和島,2026/01/23,9,14:32,2,3833,中辻博訓,51,福井,54,A1,6.71,52.99,6.71,47.0,72,34.55,43,26.80,1512,2
04,平和島,2026/01/23,9,14:32,3,3544,豊田訓靖,57,静岡,52,B2,3.35,14.67,4.41,11.7,40,33.64,38,36.45,2 43,1
04,平和島,2026/01/23,9,14:32,4,4962,畑　竜生,29,三重,53,A2,6.15,41.07,4.80,30.0,71,37.93,52,39.09,3124,
04,平和島,2026/01/23,9,14:32,5,3730,塩崎優司,53,愛知,53,B1,4.30,24.27,3.22,7.4,43,44.34,32,27.55,4 33,4
04,平和島,2026/01/23,9,14:32,6,4979,中野夢斗,29,愛知,52,A2,5.38,36.84,4.14,18.1,59,42.11,72,23.08,531,3
04,平和島,2026/01/23,10,15:02,1,4102,益田啓司,46,福岡,52,A1,6.47,48.21,6.29,50.0,50,27.27,28,22.64,2516,
04,平和島,2026/01/23,10,15:02,2,5035,櫻井　優,27,埼玉,53,B1,4.80,27.27,4.00,16.2,57,33.33,60,25.56,111,6
04,平和島,2026/01/23,10,15:02,3,3590,濱野谷憲,52,東京,56,A1,7.07,50.38,7.25,55.7,55,50.00,61,42.20,263,5
04,平和島,2026/01/23,10,15:02,4,4989,石原　翼,28,静岡,52,A2,5.73,37.96,5.88,50.0,41,44.86,45,28.72,636,2
04,平和島,2026/01/23,10,15:02,5,5041,荒牧凪沙,27,福岡,52,B1,5.21,34.44,4.11,22.2,60,45.08,59,40.20,5 35,1
04,平和島,2026/01/23,10,15:02,6,4062,後藤陽介,46,愛知,58,B1,3.85,16.39,3.63,12.5,44,49.06,49,46.08,2 64,3
04,平和島,2026/01/23,11,15:33,1,5043,中村日向,27,香川,53,A1,6.02,40.63,6.47,48.8,27,36.84,55,37.61,1423,4
04,平和島,2026/01/23,11,15:33,2,5325,澁川　夏,22,大阪,52,B1,4.08,13.13,4.05,10.0,67,36.21,71,39.62,2 24,2
04,平和島,2026/01/23,11,15:33,3,3915,繁野谷圭,51,大阪,53,A2,5.76,35.54,5.47,44.1,20,37.04,53,33.01,441,6
04,平和島,2026/01/23,11,15:33,4,3743,林　美憲,51,徳島,53,A1,6.59,52.59,0.00,0.0,39,27.88,40,17.44,2 14,1
04,平和島,2026/01/23,11,15:33,5,5032,谷口知優,28,香川,52,B1,5.38,30.14,5.70,30.0,24,35.85,47,35.92,452,5
04,平和島,2026/01/23,11,15:33,6,3627,井上恵一,56,福岡,54,A2,5.54,40.59,2.22,0.0,25,41.07,56,30.28,1 34,
04,平和島,2026/01/23,12,16:06,1,3744,徳増秀樹,51,静岡,54,A1,6.13,45.97,6.93,47.9,36,34.91,36,23.08,313,8
04,平和島,2026/01/23,12,16:06,2,4934,佐々木翔,29,大阪,56,A2,5.98,43.20,6.29,57.1,23,38.18,66,38.10,2 32,1
04,平和島,2026/01/23,12,16:06,3,5246,楠将太郎,24,埼玉,52,B1,5.35,36.05,4.21,20.8,49,35.40,31,37.50,3 46,5
04,平和島,2026/01/23,12,16:06,4,3654,武田光史,52,福井,52,A1,5.75,38.36,6.21,31.5,18,27.37,30,28.44,3246,3
04,平和島,2026/01/23,12,16:06,5,5002,上田健太,29,愛知,51,A2,6.03,40.57,7.00,40.0,28,33.33,27,32.08,3 53,7
04,平和島,2026/01/23,12,16:06,6,3712,淺香文武,51,三重,55,B1,4.62,30.38,5.00,35.7,37,36.84,39,30.77,2 26,2
